enforcement_zone,latitude,longitude,violation_count,frequency_score,avg_congestion_score,max_congestion_score,priority_score,risk_level
"100 Feet Road, Vivekanand Nagar, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.039501903846153,77.51846146923077,26,34.170164749957664,14.345384615384615,31.44,27.676697759594216,Medium
"101, 17th Cross Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.9123274,77.6361183,1,7.186324541728964,10.59,10.59,8.888162270864482,Low
"101/A, 17th Cross Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.912349699999998,77.63596953999999,5,18.57637945838152,12.216,13.77,15.70698972919076,Low
"102, 17th Cross Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.9123195,77.6358076,2,11.390054916652556,8.12,8.12,9.755027458326278,Low
"1075, 12th Main Road, Motappanapalya, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",12.9699024,77.6373941,1,7.186324541728964,19.77,19.77,13.478162270864482,Low
"1082, 12th Main Road, Motappanapalya, Indiranagar, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",12.9701183,77.6387,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th A Cross Road, Alpine Eco Apartment, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",12.972662966044833,77.70069403551815,7,21.55897362518689,9.894285714285715,10.6,15.867772526879161,Low
"10th A Main Road, Ashoka Stambh Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",12.9428517,77.58605,1,7.186324541728964,15.18,15.18,11.18316227086448,Low
"10th A Main Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",12.975565040000001,77.55843486,5,18.57637945838152,10.59,10.59,14.58318972919076,Low
"10th A Main Road, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.0088912,77.562965,1,7.186324541728964,22.95,22.95,15.068162270864482,Low
"10th A Main Road, Shri Satya Sai Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",12.9218508,77.5853739,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th B Main Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.006689999999999,77.52637671666666,6,20.17456357372616,15.948333333333332,26.48,20.16778178686308,Low
"10th B Main Road, Malleshwar Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.0078967,77.5259683,1,7.186324541728964,26.48,26.48,16.83316227086448,Low
"10th B Main Road, Muniswara Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.00777417142857,77.52613795714285,7,21.55897362518689,25.624285714285715,30.01,24.468772526879164,Low
"10th C Main Road, Siddapura Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",12.945712104761904,77.58718787142857,21,32.046922883175334,15.116190476190477,19.79,24.51631858444481,Low
"10th Cross Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.0010116,77.5713401452381,42,38.99489957663459,11.639047619047618,15.92,26.17316407403158,Medium
"10th Cross Road, Ahmed Nagar, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560039 (India)",12.949550775,77.523530775,4,16.68612885241903,18.8875,30.01,20.011314426209516,Low
"10th Cross Road, Annayappa Colony, HAL Stage 3, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",12.9720019,77.65393533333334,3,14.372649083457928,10.59,10.59,12.481324541728965,Low
"10th Cross Road, Block E, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",13.0603285,77.58999956,5,18.57637945838152,16.17,17.3,17.599189729190762,Low
"10th Cross Road, Brigade Senate 1, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",13.047747216666666,77.57920876666667,6,20.17456357372616,15.416666666666666,17.3,18.17228178686308,Low
"10th Cross Road, Dr BR Ambedkar Nagar, Viveka Nagar, Bengaluru, Karnataka. Pin-560047 (India)",12.9482735,77.6277531,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"10th Cross Road, Fast Print Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",12.9365483,77.5685775,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"10th Cross Road, Freedom Fighters Colony, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.00694,77.5277417,2,11.390054916652556,14.12,14.12,12.755027458326277,Low
"10th Cross Road, Ganapathinagar, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",13.064893025,77.5892559,4,16.68612885241903,16.505,17.3,16.754564426209516,Low
"10th Cross Road, Hemant Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.959546549999999,77.70173804999999,2,11.390054916652556,12.355,14.12,12.225527458326278,Low
"10th Cross Road, Hoshalli, Padarayanapura, Bengaluru, Karnataka. Pin-560026 (India)",12.964185,77.5500042,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"10th Cross Road, KK Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",12.969214,77.5060281,1,7.186324541728964,41.3,41.3,24.24316227086448,Low
"10th Cross Road, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.001084618181817,77.57015742727273,11,25.762704000110485,12.109090909090908,14.13,19.340079272782514,Low
"10th Cross Road, Kempegowda Layout, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",12.9989767,77.525095,1,7.186324541728964,26.48,26.48,16.83316227086448,Low
"10th Cross Road, LIC Colony Junction, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",12.931558248275863,77.59251183793104,29,35.26250831080055,9.171379310344829,13.79,23.140667948503722,Low
"10th Cross Road, Ramanjaneya Layout, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.959489733333333,77.70170223333334,3,14.372649083457928,14.709999999999999,15.89,14.777324541728964,Low
"10th Cross Road, Ramesh Babu Circle, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",12.9645383,77.5416683,3,14.372649083457928,11.766666666666666,14.12,13.540324541728964,Low
"10th Cross Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",12.971535433333335,77.71181003333334,6,20.17456357372616,16.125,32.48,21.420781786863078,Low
"10th Cross Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.917941888888889,77.65183288888889,9,23.872453394147996,11.737777777777778,14.13,18.28356003040733,Low
"10th Cross Road, Temple Tree, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",12.9037545,77.6264576,1,7.186324541728964,19.77,19.77,13.478162270864482,Low
"10th Cross Road, Venugopala Layout, Vidyaranyapura, Bengaluru, Karnataka. Pin-560097 (India)",13.082735,77.5604633,3,14.372649083457928,8.12,8.12,11.246324541728963,Low
"10th Cross Road, Whispering Meadows, Dollars Colony, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",13.047513561538462,77.57217366153847,13,27.360888115455122,11.795384615384616,19.07,21.033059442342946,Low
"10th Cross Road, Yalappa Garden, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.0010241,77.5722158,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"10th Main Road, Annayappa Colony, HAL Stage 3, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",12.9721857,77.6536126,1,7.186324541728964,19.77,19.77,13.478162270864482,Low
"10th Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",12.90585890625,77.629934478125,32,36.25065325809892,11.5475,19.8,25.54957662904946,Medium
"10th Main Road, Banashankari 1st Stage, Ashoka Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560050, India",12.940137,77.5576986,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"10th Main Road, Block 4, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",13.01602,77.5314461,1,7.186324541728964,32.12,32.12,19.65316227086448,Low
"10th Main Road, Block A, Subramanya Nagar Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",13.007853257142857,77.55735508571429,7,21.55897362518689,12.515714285714285,15.89,17.71220109830773,Low
"10th Main Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",12.974483,77.5573837,1,7.186324541728964,13.42,13.42,10.303162270864483,Low
"10th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",12.94148676625634,77.56591872645386,1,7.186324541728964,25.77,25.77,16.47816227086448,Low
"10th Main Road, Dr Vishnuvardhan Circle, Laggere, Bengaluru, Karnataka. Pin-560058 (India)",13.0205409,77.5212531,1,7.186324541728964,15.18,15.18,11.18316227086448,Low
"10th Main Road, Filor House, AECS Layout A Block, Kudlu, Bengaluru, Karnataka. Pin-560068 (India)",12.882549332795913,77.64955139837603,3,14.372649083457928,12.826666666666668,15.18,14.070324541728963,Low
"10th Main Road, Grace Town, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",13.028872,77.6311181,1,7.186324541728964,13.77,13.77,10.47816227086448,Low
